Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	315	315	31																		36	85	39	4									4288	4360	4365	4299	4292	4366	8									
V« Ma Tö Kh©m Cµ Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	630	630	31																		36	90	39	4									4288	4324	4292	4357			8									
V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	31																					36	80	39	4									129	130					8									
V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	31																					36	95	39	4									4367	4368	4334	4369	4370	4371	8									
V« Ma Hång Truy NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	140	140	31																		36	99	39	4									4288	4329	4372	4373	4374	4375	8									
V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	315	315	31																		36	90	39	4									4358	4299	4376	4377	4378	4365	9									
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	99	39	4									4288	4373	4379	4380	4374	4345	9									
V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	80	39	4									129	130					9									
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0																						36	95	39	4									4381	4382	4292	4383			9									
V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	31																					36	85	39	4									4288	4331	4292	4384	4385	4386	9									
Tª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	5									4288	4351	4352	4353	4354	4387	10									
Tª Hoµng TuÖ T©m Khinh Sa Y	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	720	720	31																		36	90	39	5									4288	4324	4388	4357			10									
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	160	160	31																		36	85	39	5									4288	4299	4389	4360	4292	4390	10									
Tª Hoµng B¨ng Tung CÈm UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	135	135	31																		36	95	39	5									4288	4391	4363	4360	4292	4392	10									
Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	80	39	5									129	130					10									
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	28	62	62	29	92	92	167	20	20	31												36	99	39	5									4381	4368	4393	4394	4374	4387	11									
BÝch H¶i Hoµn Ch©u Vò Liªn	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0																						36	95	39	5									4288	4380	4292	4345	4373	4395	11									
BÝch H¶i Hång Linh Kim Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	140	140	31																		36	90	39	5									4288	4299	4396	4331	4378	4397	11									
BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	31																					36	85	39	5									4367	4398	4374	4399	4400	4401	11									
BÝch H¶i Khiªn TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	80	39	5									129	130					11									
U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	315	315	31																		36	99	39	3									4288	4402	4403	4404	4292	4405	12									
U Lung XÝch YÕt MËt Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	630	630	31																		36	90	39	3									4288	4336	4406	4357	4292	4407	12									
U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	140	140	31																		36	80	39	3									4288	4299	4408	4360	4292	4409	12									
U Lung Ng©n ThÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	111	111	31																		36	95	39	3									129	130					12									
U Lung MÆc Thï NhuyÔn Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	140	140	31																		36	85	39	3									4367	4410	4411	4412	4413	4414	12									
Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	3									4290	4321	4354	4323	4415	4416	13									
Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	720	720	31																		36	90	39	3									4358	4417	4324	4360	4292	4385	13									
Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0																						36	80	39	3									129	130					13									
Minh ¶o Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	135	135	31																		36	95	39	3									4288	4299	4418	4360	4419	4361	13									
Minh ¶o Song Hoµn Xµ Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	160	160	31																		36	85	39	3									4288	4340	4419	4417	4292	4420	13									
Chó Ph­îc Ph¸ gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	315	315	31																		36	85	39	3									4288	4421	4292	4360	4422	4423	14									
Chó Ph­îc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0																						36	99	39	3									4288	4424	4425	4380	4374	4345	14									
Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	80	39	3									129	130					14									
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	111	111	31																		36	90	39	3									4358	4299	4426	4377	4378	4409	14									
Chó Ph­îc B¨ng Háa Thùc Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	140	140	31																		36	95	39	3									4288	4340	4427	4428	4292	4429	14									
B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	28	44	44	29	100	100	167	-20	-20	31												36	99	39	2									4288	4430	4290	4321	4354	4431	15									
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	720	720	31																		36	95	39	2									4358	4432	4324	4360	4292	4433	15									
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	160	160	31																		36	85	39	2									4358	4299	4434	4360	4292	4409	15									
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	80	39	2									129	130					15									
B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	160	160	31																		36	90	39	2									4288	4340	4435	4432	4292	4436	15									
Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	28	46	46	29	102	102	167	0	0	31												36	99	39	2									4374	4351	4352	4353	4354	4431	16									
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0																						36	95	39	2									4288	4357	4434	4345	4374		16									
Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	111	111	31																		36	90	39	2									4288	4299	4437	4360	4292	4361	16									
Thiªn Quang Song B¹o Hµn ThiÕt Tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	135	135	31																		36	85	39	2									4288	4438	4439	4357	4292	4440	16									
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	80	39	2									129	130					16									
S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	28	42	42	29	98	98	167	0	0	31												36	99	39	2									4381	4351	4352	4353	4354	4431	17									
S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	720	720	31																		36	95	39	2									4381	4324	4434	4357			17									
S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	160	160	31																		36	85	39	2									4358	4299	4441	4360	4292	4409	17									
S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	80	39	2									129	130					17									
S©m Hoang Tinh VÉn Phi Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	160	160	31																		36	90	39	2									4358	4442	4329	4360	4292	4435	17									
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	315	315	31																		36	85	39	2									4358	4443	4439	4360	4292	4444	18									
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0																						36	95	39	2									4367	4445	4446	4380	4374	4345	18									
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	80	39	2									129	130					18									
§Þa Ph¸ch KhÊu T©m Tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	111	111	31																		36	99	39	2									4358	4299	4447	4360	4292	4409	18									
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	140	140	31																		36	90	39	2									4288	4340	4448	4444	4292		18									
§ång Cõu Phi Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	315	315	31																		36	90	39	6									4288	4449	4450	4377	4292		19									
§ång Cõu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	500	500	31																		36	90	39	6									4367	4451	4452	4399	4411	4453	19									
§ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	140	140	31																		36	85	39	6									4288	4377	4454	4299	4292	4365	19									
§ång Cõu Kh¸ng Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	111	111	31																		36	99	39	6									4288	4368	4455	4456	4374	4457	19									
§ång Cõu KiÕn Long Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><bclr=blue>TuyÖt §Ønh Trang BÞ<bclr><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0																						36	80	39	6									129	130					19									
